Level	Date and Time	Source	Event ID	Task Category
Information	16/12/2015 09:00:25	Microsoft-Windows-UserModePowerService	12	(10)	Process C:\Windows\WinSxS\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.10586.0_none_95e4f9a171a1ad95\TiWorker.exe (process ID:1400) reset policy scheme from {381B4222-F694-41F0-9685-FF5BB260DF2E} to {381B4222-F694-41F0-9685-FF5BB260DF2E}
Information	16/12/2015 09:00:25	Microsoft-Windows-UserModePowerService	12	(10)	Process C:\Windows\WinSxS\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.10586.0_none_95e4f9a171a1ad95\TiWorker.exe (process ID:1400) reset policy scheme from {381B4222-F694-41F0-9685-FF5BB260DF2E} to {381B4222-F694-41F0-9685-FF5BB260DF2E}
Information	16/12/2015 09:00:18	Microsoft-Windows-UserModePowerService	12	(10)	Process C:\Windows\WinSxS\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.10586.0_none_95e4f9a171a1ad95\TiWorker.exe (process ID:1400) reset policy scheme from {381B4222-F694-41F0-9685-FF5BB260DF2E} to {381B4222-F694-41F0-9685-FF5BB260DF2E}
Information	16/12/2015 09:00:18	Microsoft-Windows-UserModePowerService	12	(10)	Process C:\Windows\WinSxS\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.10586.0_none_95e4f9a171a1ad95\TiWorker.exe (process ID:1400) reset policy scheme from {381B4222-F694-41F0-9685-FF5BB260DF2E} to {381B4222-F694-41F0-9685-FF5BB260DF2E}
Information	16/12/2015 09:00:14	Service Control Manager	7026	None	"The following boot-start or system-start driver(s) did not load: 
dam"
Information	16/12/2015 09:00:07	Microsoft-Windows-DHCPv6-Client	51046	Service State Event	DHCPv6 client service is started
Information	16/12/2015 09:00:07	Microsoft-Windows-Dhcp-Client	50036	Service State Event	DHCPv4 client service is started
Information	16/12/2015 09:00:07	Microsoft-Windows-Kernel-General	1	None	"The system time has changed to ‎2015‎-‎12‎-‎16T09:00:07.537000000Z from ‎2015‎-‎12‎-‎16T09:00:05.855955400Z.

Change Reason: An application or system component changed the time."
Information	16/12/2015 09:00:04	Microsoft-Windows-FilterManager	6	None	File System Filter 'storqosflt' (10.0, ‎2015‎-‎10‎-‎30T02:37:39.000000000Z) has successfully loaded and registered with Filter Manager.
Information	16/12/2015 09:00:04	Microsoft-Windows-FilterManager	6	None	File System Filter 'luafv' (10.0, ‎2015‎-‎10‎-‎30T02:34:43.000000000Z) has successfully loaded and registered with Filter Manager.
Information	16/12/2015 09:00:02	Microsoft-Windows-Wininit	14	None	Credential Guard (LsaIso.exe) configuration: 0x0, 0
Information	16/12/2015 08:59:54	Microsoft-Windows-Hyper-V-Netvsc	11	(1003)	Miniport NIC 'Microsoft Hyper-V Network Adapter' restarted
Information	16/12/2015 08:59:54	Microsoft-Windows-Hyper-V-Netvsc	3	(1002)	The miniport 'Microsoft Hyper-V Network Adapter' was successfully initialized
Information	16/12/2015 08:59:54	Microsoft-Windows-Hyper-V-Netvsc	12	(1003)	Miniport NIC 'Microsoft Hyper-V Network Adapter' connected
Information	16/12/2015 08:59:54	Microsoft-Windows-Hyper-V-Netvsc	13	(1003)	Miniport NIC 'Microsoft Hyper-V Network Adapter' disconnected
Information	16/12/2015 08:59:54	Microsoft-Windows-Hyper-V-Netvsc	1	(1001)	The VM and host networking components successfully negotiated protocol version '6.1'
Information	16/12/2015 08:59:54	Microsoft-Windows-Kernel-Processor-Power	55	(47)	"Processor 0 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (1 state(s))

Performance state type: None
Nominal Frequency (MHz): 2295
Maximum performance percentage: 100
Minimum performance percentage: 100
Minimum throttle percentage: 100"
Information	16/12/2015 08:59:53	Microsoft-Windows-Ntfs	98	None	Volume \\?\Volume{6b1cc1df-0000-0000-0000-100000000000} (\Device\HarddiskVolume1) is healthy.  No action is needed.
Information	16/12/2015 08:59:53	Microsoft-Windows-FilterManager	6	None	File System Filter 'npsvctrig' (10.0, ‎2015‎-‎10‎-‎30T02:40:23.000000000Z) has successfully loaded and registered with Filter Manager.
Information	16/12/2015 08:59:53	Microsoft-Windows-FilterManager	6	None	File System Filter 'FileCrypt' (10.0, ‎2015‎-‎10‎-‎30T02:37:49.000000000Z) has successfully loaded and registered with Filter Manager.
Information	16/12/2015 08:59:53	Microsoft-Windows-Ntfs	98	None	Volume C: (\Device\HarddiskVolume2) is healthy.  No action is needed.
Information	16/12/2015 08:59:52	Microsoft-Windows-FilterManager	6	None	File System Filter 'WdFilter' (10.0, ‎2015‎-‎10‎-‎30T02:34:35.000000000Z) has successfully loaded and registered with Filter Manager.
Information	16/12/2015 08:59:52	Microsoft-Windows-FilterManager	6	None	File System Filter 'Wof' (10.0, ‎2015‎-‎10‎-‎30T02:38:16.000000000Z) has successfully loaded and registered with Filter Manager.
Information	16/12/2015 08:59:52	Microsoft-Windows-FilterManager	6	None	File System Filter 'FileInfo' (10.0, ‎2015‎-‎10‎-‎30T02:37:17.000000000Z) has successfully loaded and registered with Filter Manager.
Information	16/12/2015 08:59:52	Microsoft-Windows-Kernel-Boot	32	None	The bootmgr spent 0 ms waiting for user input.
Information	16/12/2015 08:59:52	Microsoft-Windows-Kernel-Boot	18	None	There are 0x1 boot options on this system.
Information	16/12/2015 08:59:52	Microsoft-Windows-Kernel-Boot	25	None	The boot menu policy was 0x1.
Information	16/12/2015 08:59:52	Microsoft-Windows-Kernel-Boot	27	None	The boot type was 0x0.
Information	16/12/2015 08:59:52	Microsoft-Windows-Kernel-Boot	20	None	The last shutdown's success status was true. The last boot's success status was true.
Information	16/12/2015 08:59:52	Microsoft-Windows-Kernel-General	12	None	The operating system started at system time ‎2015‎-‎12‎-‎16T08:59:52.484839900Z.
Information	15/12/2015 18:49:33	Microsoft-Windows-Kernel-General	13	None	The operating system is shutting down at system time ‎2015‎-‎12‎-‎15T18:49:33.056552400Z.
Information	15/12/2015 18:49:32	Microsoft-Windows-Kernel-Power	109	(103)	"The kernel power manager has initiated a shutdown transition.

Shutdown Reason: Kernel API"
Information	15/12/2015 18:49:32	Microsoft-Windows-Kernel-Power	109	(103)	"The kernel power manager has initiated a shutdown transition.

Shutdown Reason: Kernel API"
Information	15/12/2015 18:49:32	Microsoft-Windows-Dhcp-Client	50037	Service State Event	DHCPv4 client service is stopped. ShutDown Flag value is 1
Information	16/12/2015 09:00:05	EventLog	6013	None	The system uptime is 12 seconds.
Information	16/12/2015 09:00:05	EventLog	6005	None	The Event log service was started.
Information	16/12/2015 09:00:05	EventLog	6009	None	Microsoft (R) Windows (R) 10.00. 10586  Multiprocessor Free.
Information	15/12/2015 18:49:31	Microsoft-Windows-DHCPv6-Client	51047	Service State Event	DHCPv6 client service is stopped. ShutDown Flag value is 1
Information	15/12/2015 18:49:31	EventLog	6006	None	The Event log service was stopped.
Information	15/12/2015 18:49:14	Service Control Manager	7040	None	The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information	15/12/2015 18:40:52	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Windows\System32\SMI\Store\Machine\SCHEMA.DAT was cleared updating 0 keys and creating 0 modified pages.
Information	15/12/2015 18:40:29	Microsoft-Windows-Winlogon	7002	(1102)	User Logoff Notification for Customer Experience Improvement Program
Error	15/12/2015 18:40:22	Service Control Manager	7031	None	The User Data Access_209677 service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 10000 milliseconds: Restart the service.
Error	15/12/2015 18:40:22	Service Control Manager	7031	None	The User Data Storage_209677 service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 10000 milliseconds: Restart the service.
Error	15/12/2015 18:40:22	Service Control Manager	7031	None	The Contact Data_209677 service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 10000 milliseconds: Restart the service.
Error	15/12/2015 18:40:22	Service Control Manager	7031	None	The Sync Host_209677 service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 10000 milliseconds: Restart the service.
Error	15/12/2015 18:40:22	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
 and APPID 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information	15/12/2015 18:40:20	User32	1074	None	"The process C:\Windows\System32\RuntimeBroker.exe (DESKTOP-A5MB3PB) has initiated the power off of computer DESKTOP-A5MB3PB on behalf of user DESKTOP-A5MB3PB\Graeme for the following reason: Other (Unplanned)
 Reason Code: 0x0
 Shutdown Type: power off
 Comment: "
Information	15/12/2015 16:54:12	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: Definition Update for Windows Defender - KB2267602 (Definition 1.211.2764.0)
Information	15/12/2015 16:53:12	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: Definition Update for Windows Defender - KB2267602 (Definition 1.211.2764.0)
Information	15/12/2015 16:52:09	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: Cumulative Update for Windows 10 Version 1511 for x64-based Systems (KB3116900)
Information	15/12/2015 16:52:09	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: Windows Malicious Software Removal Tool for Windows 8, 8.1, 10 and Windows Server 2012, 2012 R2 x64 Edition - December 2015 (KB890830)
Information	15/12/2015 16:52:05	Service Control Manager	7040	None	The start type of the Windows Modules Installer service was changed from demand start to auto start.
Information	15/12/2015 16:50:15	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: Windows Malicious Software Removal Tool for Windows 8, 8.1, 10 and Windows Server 2012, 2012 R2 x64 Edition - December 2015 (KB890830)
Information	15/12/2015 16:50:15	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: Security Update for Internet Explorer Flash Player for Windows 10 Version 1511 for x64-based Systems (KB3119147)
Information	15/12/2015 16:50:15	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: Security Update for Internet Explorer Flash Player for Windows 10 Version 1511 for x64-based Systems (KB3119147)
Information	15/12/2015 16:50:13	Service Control Manager	7040	None	The start type of the Windows Modules Installer service was changed from auto start to demand start.
Information	15/12/2015 16:50:11	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Windows\System32\SMI\Store\Machine\SCHEMA.DAT was cleared updating 0 keys and creating 0 modified pages.
Information	15/12/2015 16:50:10	Service Control Manager	7040	None	The start type of the Windows Modules Installer service was changed from demand start to auto start.
Information	15/12/2015 16:42:43	Service Control Manager	7040	None	The start type of the Windows Modules Installer service was changed from auto start to demand start.
Information	15/12/2015 16:41:48	Service Control Manager	7040	None	The start type of the Windows Modules Installer service was changed from demand start to auto start.
Information	15/12/2015 16:41:35	Service Control Manager	7040	None	The start type of the Windows Modules Installer service was changed from auto start to demand start.
Information	15/12/2015 16:41:35	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Windows\System32\SMI\Store\Machine\SCHEMA.DAT was cleared updating 0 keys and creating 0 modified pages.
Information	15/12/2015 16:41:35	Service Control Manager	7040	None	The start type of the Windows Modules Installer service was changed from demand start to auto start.
Information	15/12/2015 16:41:14	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	15/12/2015 16:41:14	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	15/12/2015 16:41:11	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	15/12/2015 16:41:11	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	15/12/2015 15:36:54	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: Messaging + Skype
Information	15/12/2015 15:36:47	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Users\Graeme\AppData\Local\Packages\Microsoft.Messaging_8wekyb3d8bbwe\Microsoft.Messaging_1.11.19004.0_x86__8wekyb3d8bbwe\ActivationStore\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	15/12/2015 15:36:45	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: Messaging + Skype
Information	15/12/2015 15:36:45	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: Windows Maps
Information	15/12/2015 15:36:39	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: Windows Maps
Information	15/12/2015 15:36:39	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: Microsoft Wi-Fi
Information	15/12/2015 15:36:38	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Users\Graeme\AppData\Local\Packages\Microsoft.WindowsMaps_8wekyb3d8bbwe\Microsoft.WindowsMaps_4.1512.3450.0_x64__8wekyb3d8bbwe\ActivationStore\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	15/12/2015 15:36:33	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: Microsoft Wi-Fi
Information	15/12/2015 15:36:31	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Users\Graeme\AppData\Local\Packages\Microsoft.ConnectivityStore_8wekyb3d8bbwe\Microsoft.ConnectivityStore_1.1511.2.0_x64__8wekyb3d8bbwe\ActivationStore\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	15/12/2015 15:35:27	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	15/12/2015 15:35:27	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: Mail and Calendar
Information	15/12/2015 15:35:27	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	15/12/2015 15:35:20	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Users\Graeme\AppData\Local\Packages\microsoft.windowscommunicationsapps_8wekyb3d8bbwe\microsoft.windowscommunicationsapps_17.6509.64001.0_x64__8wekyb3d8bbwe\ActivationStore\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	15/12/2015 15:35:17	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: Mail and Calendar
Information	15/12/2015 15:35:17	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: Sway
Information	15/12/2015 15:35:12	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	15/12/2015 15:35:08	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Users\Graeme\AppData\Local\Packages\Microsoft.Office.Sway_8wekyb3d8bbwe\Microsoft.Office.Sway_17.6509.20251.0_x64__8wekyb3d8bbwe\ActivationStore\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	15/12/2015 15:35:05	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: Sway
Information	15/12/2015 15:35:05	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: 3D Builder
Information	15/12/2015 15:34:44	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Users\Graeme\AppData\Local\Packages\Microsoft.3DBuilder_8wekyb3d8bbwe\Microsoft.3DBuilder_10.10.38.0_x64__8wekyb3d8bbwe\ActivationStore\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	15/12/2015 15:34:22	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: 3D Builder
Information	15/12/2015 15:33:10	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	15/12/2015 15:33:03	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: OneNote
Information	15/12/2015 15:33:03	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	15/12/2015 15:32:59	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: OneNote
Information	15/12/2015 15:32:59	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: Groove Music
Information	15/12/2015 15:32:57	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Users\Graeme\AppData\Local\Packages\Microsoft.Office.OneNote_8wekyb3d8bbwe\Microsoft.Office.OneNote_17.6366.15841.0_x64__8wekyb3d8bbwe\ActivationStore\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	15/12/2015 15:32:49	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Users\Graeme\AppData\Local\Packages\Microsoft.ZuneMusic_8wekyb3d8bbwe\Microsoft.ZuneMusic_3.6.15131.0_x64__8wekyb3d8bbwe\ActivationStore\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	15/12/2015 15:32:47	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: Groove Music
Information	15/12/2015 15:32:47	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	15/12/2015 15:32:47	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: Movies & TV
Information	15/12/2015 15:32:36	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: Movies & TV
Information	15/12/2015 15:32:35	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Users\Graeme\AppData\Local\Packages\Microsoft.ZuneVideo_8wekyb3d8bbwe\Microsoft.ZuneVideo_3.6.15731.0_x64__8wekyb3d8bbwe\ActivationStore\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	15/12/2015 15:32:00	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	15/12/2015 15:31:55	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: Get Office
Information	15/12/2015 15:31:51	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	15/12/2015 15:31:51	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: Get Office
Information	15/12/2015 15:31:51	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: Xbox
Information	15/12/2015 15:31:49	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Users\Graeme\AppData\Local\Packages\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\Microsoft.MicrosoftOfficeHub_17.6508.23761.0_x64__8wekyb3d8bbwe\ActivationStore\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	15/12/2015 15:31:44	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Users\Graeme\AppData\Local\Packages\Microsoft.XboxApp_8wekyb3d8bbwe\Microsoft.XboxApp_11.12.9011.0_x64__8wekyb3d8bbwe\ActivationStore\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	15/12/2015 15:31:44	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	15/12/2015 15:31:44	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: Xbox
Information	15/12/2015 15:31:44	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: Windows Alarms & Clock
Information	15/12/2015 15:31:36	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Users\Graeme\AppData\Local\Packages\Microsoft.WindowsAlarms_8wekyb3d8bbwe\Microsoft.WindowsAlarms_10.1511.65020.0_x64__8wekyb3d8bbwe\ActivationStore\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	15/12/2015 15:31:34	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: Windows Alarms & Clock
Information	15/12/2015 15:30:38	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	15/12/2015 15:30:34	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: Microsoft Photos
Information	15/12/2015 15:30:34	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	15/12/2015 15:30:29	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Users\Graeme\AppData\Local\Packages\Microsoft.Windows.Photos_8wekyb3d8bbwe\Microsoft.Windows.Photos_15.1208.10480.0_x64__8wekyb3d8bbwe\ActivationStore\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	15/12/2015 15:30:27	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: Microsoft Photos
Information	15/12/2015 15:30:27	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: Windows Camera
Information	15/12/2015 15:30:22	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Users\Graeme\AppData\Local\Packages\Microsoft.WindowsCamera_8wekyb3d8bbwe\Microsoft.WindowsCamera_2015.1078.40.0_x64__8wekyb3d8bbwe\ActivationStore\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	15/12/2015 15:30:22	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	15/12/2015 15:30:22	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: Windows Camera
Information	15/12/2015 15:30:22	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: Windows Calculator
Information	15/12/2015 15:30:13	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: Windows Calculator
Information	15/12/2015 15:30:13	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Users\Graeme\AppData\Local\Packages\Microsoft.WindowsCalculator_8wekyb3d8bbwe\Microsoft.WindowsCalculator_10.1512.34020.0_x64__8wekyb3d8bbwe\ActivationStore\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	15/12/2015 15:29:33	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	15/12/2015 15:29:28	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: Microsoft Phone
Information	15/12/2015 15:29:22	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Users\Graeme\AppData\Local\Packages\Microsoft.CommsPhone_8wekyb3d8bbwe\Microsoft.CommsPhone_2.12.2002.0_x64__8wekyb3d8bbwe\ActivationStore\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	15/12/2015 15:29:21	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	15/12/2015 15:29:21	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: Microsoft Phone
Information	15/12/2015 15:29:21	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: Microsoft People
Information	15/12/2015 15:29:14	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	15/12/2015 15:29:14	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: Microsoft People
Information	15/12/2015 15:29:13	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Users\Graeme\AppData\Local\Packages\Microsoft.People_8wekyb3d8bbwe\Microsoft.People_10.0.3350.0_x64__8wekyb3d8bbwe\ActivationStore\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	15/12/2015 15:29:05	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: Microsoft Solitaire Collection
Information	15/12/2015 15:27:46	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Users\Graeme\AppData\Local\Packages\Microsoft.MicrosoftSolitaireCollection_8wekyb3d8bbwe\Microsoft.MicrosoftSolitaireCollection_3.5.11021.0_x64__8wekyb3d8bbwe\ActivationStore\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	15/12/2015 15:27:32	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: Microsoft Solitaire Collection
Information	15/12/2015 15:27:32	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	15/12/2015 15:27:06	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: Microsoft Phone Companion
Information	15/12/2015 15:25:08	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Users\Graeme\AppData\Local\Packages\Microsoft.WindowsPhone_8wekyb3d8bbwe\Microsoft.WindowsPhone_10.1511.18010.0_x64__8wekyb3d8bbwe\ActivationStore\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	15/12/2015 15:24:57	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	15/12/2015 15:24:46	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: Microsoft Phone Companion
Information	15/12/2015 15:24:35	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: MSN Sports
Information	15/12/2015 15:23:46	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Users\Graeme\AppData\Local\Packages\Microsoft.BingSports_8wekyb3d8bbwe\Microsoft.BingSports_4.7.130.0_x86__8wekyb3d8bbwe\ActivationStore\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	15/12/2015 15:23:37	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: MSN Sports
Information	15/12/2015 15:22:31	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	15/12/2015 15:22:24	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: Store
Information	15/12/2015 15:22:14	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: Store
Information	15/12/2015 15:22:14	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Users\Graeme\AppData\Local\Packages\Microsoft.WindowsStore_8wekyb3d8bbwe\Microsoft.WindowsStore_2015.23.23.0_x64__8wekyb3d8bbwe\ActivationStore\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	15/12/2015 15:20:47	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
